2017-09-10 19:42:26,030 - Auto - INFO - 打开网页成功http://192.168.10.223:61604/
2017-09-10 19:42:26,206 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'userName') 元素
2017-09-10 19:42:26,401 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'userPass') 元素
2017-09-10 19:42:26,555 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('css selector', '.loginbtn.radius5') 元素
2017-09-10 19:42:27,573 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770>页面执行js:leftMenu('54','创建入库单','/receiving/receiving/create?quick=54')成功
2017-09-10 19:42:27,574 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770>切换frame:('id', 'iframe-container-54')成功
2017-09-10 19:42:27,639 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'iframe-container-54') 元素
2017-09-10 19:42:28,229 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[1]/td[2]/div/div[2]") 元素
2017-09-10 19:42:28,512 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'transit_warehouse') 元素
2017-09-10 19:42:28,827 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'new_target_warehouse_code') 元素
2017-09-10 19:42:29,122 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('name', 'volume') 元素
2017-09-10 19:42:29,173 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('name', 'weight') 元素
2017-09-10 19:42:29,223 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('id', 'sm_code') 元素
2017-09-10 19:42:29,762 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', "(//select[@id='receiving_shipping_type'])[2]") 元素
2017-09-10 19:42:30,052 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('name', 'tax_type') 元素
2017-09-10 19:42:30,368 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('name', 'customer_type') 元素
2017-09-10 19:42:30,684 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', "(//input[@id='refrence_no'])[2]") 元素
2017-09-10 19:42:30,790 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', "(//input[@name='shipping_method'])[2]") 元素
2017-09-10 19:42:30,885 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', "(//input[@name='tracking_no'])[2]") 元素
2017-09-10 19:42:30,993 - Auto - INFO - <OMS.ElementKey.UIPage.Create_Warehousing_page.Create_ware_page object at 0x03161770> 页面中成功找到 ('xpath', ".//*[@id='asnForm']/table/tbody/tr[12]/td[2]/input") 元素
